case_id,fixture_id,status,lighting,expected_level1,expected_level2,observed_level1,observed_level2,display_label_vi,margin,uncertain,reason
PM-COLOR-CONTRACT-YELLOW,extended-yellow,COMPLETE,digital,yellow,yellow,yellow,yellow,Vàng,0.981968772,false,deterministic anchor contract
PM-COLOR-CONTRACT-KHAKI,extended-khaki,COMPLETE,digital,yellow,khaki,yellow,khaki,Vàng cát,0.943828224,false,deterministic anchor contract
PM-COLOR-CONTRACT-GOLD,extended-gold,COMPLETE,digital,yellow,gold,yellow,gold,Vàng đồng,0.981781758,false,deterministic anchor contract
PM-COLOR-CONTRACT-LIGHT-YELLOW,extended-light_yellow,COMPLETE,digital,white,light_yellow,white,light_yellow,Vàng chanh,0.359395683,false,deterministic anchor contract
PM-COLOR-UNCERTAIN-01,uncertain-boundary-1,COMPLETE,good,diagnostic-retained,uncertainty-gate,diagnostic-retained,not-presented,Không chắc chắn,0.099999000,true,frozen margin/lighting truth table
PM-COLOR-UNCERTAIN-02,uncertain-boundary-2,COMPLETE,good,diagnostic-retained,uncertainty-gate,diagnostic-retained,threshold-accepted,diagnostic candidate,0.100000000,false,frozen margin/lighting truth table
PM-COLOR-UNCERTAIN-03,uncertain-boundary-3,COMPLETE,poor,diagnostic-retained,uncertainty-gate,diagnostic-retained,not-presented,Không chắc chắn,0.800000000,true,frozen margin/lighting truth table
PM-COLOR-P01-BLACK-NEUTRAL,physical-01-black,NOT_RUN,neutral,physical-reference-unavailable,black,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P01-BLACK-WARM,physical-01-black,NOT_RUN,warm,physical-reference-unavailable,black,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P01-BLACK-LOW,physical-01-black,NOT_RUN,low,physical-reference-unavailable,black,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P02-DIM-GRAY-NEUTRAL,physical-02-dim_gray,NOT_RUN,neutral,physical-reference-unavailable,dim_gray,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P02-DIM-GRAY-WARM,physical-02-dim_gray,NOT_RUN,warm,physical-reference-unavailable,dim_gray,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P02-DIM-GRAY-LOW,physical-02-dim_gray,NOT_RUN,low,physical-reference-unavailable,dim_gray,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P03-BLUE-NEUTRAL,physical-03-blue,NOT_RUN,neutral,physical-reference-unavailable,blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P03-BLUE-WARM,physical-03-blue,NOT_RUN,warm,physical-reference-unavailable,blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P03-BLUE-LOW,physical-03-blue,NOT_RUN,low,physical-reference-unavailable,blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P04-NAVY-NEUTRAL,physical-04-navy,NOT_RUN,neutral,physical-reference-unavailable,navy,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P04-NAVY-WARM,physical-04-navy,NOT_RUN,warm,physical-reference-unavailable,navy,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P04-NAVY-LOW,physical-04-navy,NOT_RUN,low,physical-reference-unavailable,navy,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P05-CYAN-NEUTRAL,physical-05-cyan,NOT_RUN,neutral,physical-reference-unavailable,cyan,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P05-CYAN-WARM,physical-05-cyan,NOT_RUN,warm,physical-reference-unavailable,cyan,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P05-CYAN-LOW,physical-05-cyan,NOT_RUN,low,physical-reference-unavailable,cyan,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P06-SKY-BLUE-NEUTRAL,physical-06-sky_blue,NOT_RUN,neutral,physical-reference-unavailable,sky_blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P06-SKY-BLUE-WARM,physical-06-sky_blue,NOT_RUN,warm,physical-reference-unavailable,sky_blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P06-SKY-BLUE-LOW,physical-06-sky_blue,NOT_RUN,low,physical-reference-unavailable,sky_blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P07-ROYAL-BLUE-NEUTRAL,physical-07-royal_blue,NOT_RUN,neutral,physical-reference-unavailable,royal_blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P07-ROYAL-BLUE-WARM,physical-07-royal_blue,NOT_RUN,warm,physical-reference-unavailable,royal_blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P07-ROYAL-BLUE-LOW,physical-07-royal_blue,NOT_RUN,low,physical-reference-unavailable,royal_blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P08-LIGHT-BLUE-NEUTRAL,physical-08-light_blue,NOT_RUN,neutral,physical-reference-unavailable,light_blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P08-LIGHT-BLUE-WARM,physical-08-light_blue,NOT_RUN,warm,physical-reference-unavailable,light_blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P08-LIGHT-BLUE-LOW,physical-08-light_blue,NOT_RUN,low,physical-reference-unavailable,light_blue,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P09-BROWN-NEUTRAL,physical-09-brown,NOT_RUN,neutral,physical-reference-unavailable,brown,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P09-BROWN-WARM,physical-09-brown,NOT_RUN,warm,physical-reference-unavailable,brown,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P09-BROWN-LOW,physical-09-brown,NOT_RUN,low,physical-reference-unavailable,brown,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P10-DARK-BROWN-NEUTRAL,physical-10-dark_brown,NOT_RUN,neutral,physical-reference-unavailable,dark_brown,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P10-DARK-BROWN-WARM,physical-10-dark_brown,NOT_RUN,warm,physical-reference-unavailable,dark_brown,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P10-DARK-BROWN-LOW,physical-10-dark_brown,NOT_RUN,low,physical-reference-unavailable,dark_brown,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P11-PERU-NEUTRAL,physical-11-peru,NOT_RUN,neutral,physical-reference-unavailable,peru,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P11-PERU-WARM,physical-11-peru,NOT_RUN,warm,physical-reference-unavailable,peru,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P11-PERU-LOW,physical-11-peru,NOT_RUN,low,physical-reference-unavailable,peru,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P12-CHOCOLATE-NEUTRAL,physical-12-chocolate,NOT_RUN,neutral,physical-reference-unavailable,chocolate,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P12-CHOCOLATE-WARM,physical-12-chocolate,NOT_RUN,warm,physical-reference-unavailable,chocolate,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P12-CHOCOLATE-LOW,physical-12-chocolate,NOT_RUN,low,physical-reference-unavailable,chocolate,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P13-SANDY-BROWN-NEUTRAL,physical-13-sandy_brown,NOT_RUN,neutral,physical-reference-unavailable,sandy_brown,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P13-SANDY-BROWN-WARM,physical-13-sandy_brown,NOT_RUN,warm,physical-reference-unavailable,sandy_brown,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P13-SANDY-BROWN-LOW,physical-13-sandy_brown,NOT_RUN,low,physical-reference-unavailable,sandy_brown,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P14-DARK-KHAKI-NEUTRAL,physical-14-dark_khaki,NOT_RUN,neutral,physical-reference-unavailable,dark_khaki,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P14-DARK-KHAKI-WARM,physical-14-dark_khaki,NOT_RUN,warm,physical-reference-unavailable,dark_khaki,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P14-DARK-KHAKI-LOW,physical-14-dark_khaki,NOT_RUN,low,physical-reference-unavailable,dark_khaki,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P15-GREY-NEUTRAL,physical-15-grey,NOT_RUN,neutral,physical-reference-unavailable,grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P15-GREY-WARM,physical-15-grey,NOT_RUN,warm,physical-reference-unavailable,grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P15-GREY-LOW,physical-15-grey,NOT_RUN,low,physical-reference-unavailable,grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P16-LIGHT-GREY-NEUTRAL,physical-16-light_grey,NOT_RUN,neutral,physical-reference-unavailable,light_grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P16-LIGHT-GREY-WARM,physical-16-light_grey,NOT_RUN,warm,physical-reference-unavailable,light_grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P16-LIGHT-GREY-LOW,physical-16-light_grey,NOT_RUN,low,physical-reference-unavailable,light_grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P17-ASH-GREY-NEUTRAL,physical-17-ash_grey,NOT_RUN,neutral,physical-reference-unavailable,ash_grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P17-ASH-GREY-WARM,physical-17-ash_grey,NOT_RUN,warm,physical-reference-unavailable,ash_grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P17-ASH-GREY-LOW,physical-17-ash_grey,NOT_RUN,low,physical-reference-unavailable,ash_grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P18-SILVER-NEUTRAL,physical-18-silver,NOT_RUN,neutral,physical-reference-unavailable,silver,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P18-SILVER-WARM,physical-18-silver,NOT_RUN,warm,physical-reference-unavailable,silver,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P18-SILVER-LOW,physical-18-silver,NOT_RUN,low,physical-reference-unavailable,silver,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P19-SLATE-GREY-NEUTRAL,physical-19-slate_grey,NOT_RUN,neutral,physical-reference-unavailable,slate_grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P19-SLATE-GREY-WARM,physical-19-slate_grey,NOT_RUN,warm,physical-reference-unavailable,slate_grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P19-SLATE-GREY-LOW,physical-19-slate_grey,NOT_RUN,low,physical-reference-unavailable,slate_grey,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P20-GREEN-NEUTRAL,physical-20-green,NOT_RUN,neutral,physical-reference-unavailable,green,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P20-GREEN-WARM,physical-20-green,NOT_RUN,warm,physical-reference-unavailable,green,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P20-GREEN-LOW,physical-20-green,NOT_RUN,low,physical-reference-unavailable,green,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P21-LIME-NEUTRAL,physical-21-lime,NOT_RUN,neutral,physical-reference-unavailable,lime,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P21-LIME-WARM,physical-21-lime,NOT_RUN,warm,physical-reference-unavailable,lime,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P21-LIME-LOW,physical-21-lime,NOT_RUN,low,physical-reference-unavailable,lime,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P22-OLIVE-NEUTRAL,physical-22-olive,NOT_RUN,neutral,physical-reference-unavailable,olive,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P22-OLIVE-WARM,physical-22-olive,NOT_RUN,warm,physical-reference-unavailable,olive,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P22-OLIVE-LOW,physical-22-olive,NOT_RUN,low,physical-reference-unavailable,olive,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P23-TEAL-NEUTRAL,physical-23-teal,NOT_RUN,neutral,physical-reference-unavailable,teal,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P23-TEAL-WARM,physical-23-teal,NOT_RUN,warm,physical-reference-unavailable,teal,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P23-TEAL-LOW,physical-23-teal,NOT_RUN,low,physical-reference-unavailable,teal,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P24-SEA-GREEN-NEUTRAL,physical-24-sea_green,NOT_RUN,neutral,physical-reference-unavailable,sea_green,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P24-SEA-GREEN-WARM,physical-24-sea_green,NOT_RUN,warm,physical-reference-unavailable,sea_green,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P24-SEA-GREEN-LOW,physical-24-sea_green,NOT_RUN,low,physical-reference-unavailable,sea_green,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P25-MOSS-GREEN-NEUTRAL,physical-25-moss_green,NOT_RUN,neutral,physical-reference-unavailable,moss_green,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P25-MOSS-GREEN-WARM,physical-25-moss_green,NOT_RUN,warm,physical-reference-unavailable,moss_green,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P25-MOSS-GREEN-LOW,physical-25-moss_green,NOT_RUN,low,physical-reference-unavailable,moss_green,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P26-ORANGE-NEUTRAL,physical-26-orange,NOT_RUN,neutral,physical-reference-unavailable,orange,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P26-ORANGE-WARM,physical-26-orange,NOT_RUN,warm,physical-reference-unavailable,orange,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P26-ORANGE-LOW,physical-26-orange,NOT_RUN,low,physical-reference-unavailable,orange,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P27-DARK-ORANGE-NEUTRAL,physical-27-dark_orange,NOT_RUN,neutral,physical-reference-unavailable,dark_orange,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P27-DARK-ORANGE-WARM,physical-27-dark_orange,NOT_RUN,warm,physical-reference-unavailable,dark_orange,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P27-DARK-ORANGE-LOW,physical-27-dark_orange,NOT_RUN,low,physical-reference-unavailable,dark_orange,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P28-PEACH-NEUTRAL,physical-28-peach,NOT_RUN,neutral,physical-reference-unavailable,peach,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P28-PEACH-WARM,physical-28-peach,NOT_RUN,warm,physical-reference-unavailable,peach,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P28-PEACH-LOW,physical-28-peach,NOT_RUN,low,physical-reference-unavailable,peach,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P29-CORAL-NEUTRAL,physical-29-coral,NOT_RUN,neutral,physical-reference-unavailable,coral,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P29-CORAL-WARM,physical-29-coral,NOT_RUN,warm,physical-reference-unavailable,coral,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P29-CORAL-LOW,physical-29-coral,NOT_RUN,low,physical-reference-unavailable,coral,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P30-PINK-NEUTRAL,physical-30-pink,NOT_RUN,neutral,physical-reference-unavailable,pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P30-PINK-WARM,physical-30-pink,NOT_RUN,warm,physical-reference-unavailable,pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P30-PINK-LOW,physical-30-pink,NOT_RUN,low,physical-reference-unavailable,pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P31-DEEP-PINK-NEUTRAL,physical-31-deep_pink,NOT_RUN,neutral,physical-reference-unavailable,deep_pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P31-DEEP-PINK-WARM,physical-31-deep_pink,NOT_RUN,warm,physical-reference-unavailable,deep_pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P31-DEEP-PINK-LOW,physical-31-deep_pink,NOT_RUN,low,physical-reference-unavailable,deep_pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P32-HOT-PINK-NEUTRAL,physical-32-hot_pink,NOT_RUN,neutral,physical-reference-unavailable,hot_pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P32-HOT-PINK-WARM,physical-32-hot_pink,NOT_RUN,warm,physical-reference-unavailable,hot_pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P32-HOT-PINK-LOW,physical-32-hot_pink,NOT_RUN,low,physical-reference-unavailable,hot_pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P33-LIGHT-PINK-NEUTRAL,physical-33-light_pink,NOT_RUN,neutral,physical-reference-unavailable,light_pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P33-LIGHT-PINK-WARM,physical-33-light_pink,NOT_RUN,warm,physical-reference-unavailable,light_pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P33-LIGHT-PINK-LOW,physical-33-light_pink,NOT_RUN,low,physical-reference-unavailable,light_pink,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P34-PURPLE-NEUTRAL,physical-34-purple,NOT_RUN,neutral,physical-reference-unavailable,purple,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P34-PURPLE-WARM,physical-34-purple,NOT_RUN,warm,physical-reference-unavailable,purple,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P34-PURPLE-LOW,physical-34-purple,NOT_RUN,low,physical-reference-unavailable,purple,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P35-INDIGO-NEUTRAL,physical-35-indigo,NOT_RUN,neutral,physical-reference-unavailable,indigo,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P35-INDIGO-WARM,physical-35-indigo,NOT_RUN,warm,physical-reference-unavailable,indigo,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P35-INDIGO-LOW,physical-35-indigo,NOT_RUN,low,physical-reference-unavailable,indigo,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P36-VIOLET-NEUTRAL,physical-36-violet,NOT_RUN,neutral,physical-reference-unavailable,violet,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P36-VIOLET-WARM,physical-36-violet,NOT_RUN,warm,physical-reference-unavailable,violet,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P36-VIOLET-LOW,physical-36-violet,NOT_RUN,low,physical-reference-unavailable,violet,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
PM-COLOR-P37-MAGENTA-NEUTRAL,physical-37-magenta,NOT_RUN,neutral,physical-reference-unavailable,magenta,,,,,,No consented/licensed physical capture was supplied for this frozen observation.
