supplemental_id,derived_from_case_id,expected_name,lighting,source_rgb,illuminated_rgb,corrected_rgb,predicted_name,correct,color_margin,extraction_status,lighting_quality,valid_fraction,gains_bgr,evidence_class
SUP-COL-GREY-NEUTRAL-INDOOR,COL-CONTRACT-GREY,grey,neutral_indoor,128-128-128,122-128-134,124-128-131,grey,True,0.4178986588470129,COMPLETE,good,1.0,0.98404255-1.00000000-1.01648352,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-GREY-WARM-LOW,COL-CONTRACT-GREY,grey,warm_low,128-128-128,147-109-83,134-110-90,grey,True,0.17617398032990794,COMPLETE,good,1.0,1.09230769-1.01139601-0.91259640,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-GREEN-DAYLIGHT,COL-CONTRACT-GREEN,green,daylight,20-150-60,20-150-60,20-150-60,green,True,0.6852906892994799,COMPLETE,good,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-GREEN-NEUTRAL-INDOOR,COL-CONTRACT-GREEN,green,neutral_indoor,20-150-60,19-150-63,19-150-63,green,True,0.6661889855668349,COMPLETE,good,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-GREEN-WARM-LOW,COL-CONTRACT-GREEN,green,warm_low,20-150-60,23-128-39,26-105-42,green,True,0.46902662062561146,COMPLETE,medium,1.0,1.08659549-0.82522523-1.15220126,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-ORANGE-DAYLIGHT,COL-CONTRACT-ORANGE,orange,daylight,240-140-20,240-140-20,240-140-20,orange,True,0.2925244466795853,COMPLETE,good,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-ORANGE-NEUTRAL-INDOOR,COL-CONTRACT-ORANGE,orange,neutral_indoor,240-140-20,228-140-21,228-140-21,orange,True,0.12868035356290403,COMPLETE,good,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-ORANGE-WARM-LOW,COL-CONTRACT-ORANGE,orange,warm_low,240-140-20,255-119-13,255-119-13,orange,True,0.35902158835077036,PARTIAL:InsufficientColorPixelsError,poor,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-PINK-DAYLIGHT,COL-CONTRACT-PINK,pink,daylight,240-150-180,240-150-180,215-165-184,pink,True,0.12377257852094645,COMPLETE,good,1.0,1.02369668-1.10204082-0.89626556,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-PINK-NEUTRAL-INDOOR,COL-CONTRACT-PINK,pink,neutral_indoor,240-150-180,228-150-189,209-164-189,pink,True,0.08239127919619324,COMPLETE,good,1.0,1.00000000-1.09948980-0.91702128,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-PINK-WARM-LOW,COL-CONTRACT-PINK,pink,warm_low,240-150-180,255-128-117,255-128-117,brown,False,0.00937383548065912,PARTIAL:InsufficientColorPixelsError,poor,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-PURPLE-DAYLIGHT,COL-CONTRACT-PURPLE,purple,daylight,120-50-150,120-50-150,115-59-133,purple,True,0.3036051314229925,COMPLETE,medium,1.0,0.88945578-1.19406393-0.96316759,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-PURPLE-NEUTRAL-INDOOR,COL-CONTRACT-PURPLE,purple,neutral_indoor,120-50-150,114-50-158,111-59-137,purple,True,0.329507540612847,COMPLETE,medium,1.0,0.87333333-1.19634703-0.98127341,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-PURPLE-WARM-LOW,COL-CONTRACT-PURPLE,purple,warm_low,120-50-150,138-42-98,121-49-96,purple,True,0.08586962879324692,COMPLETE,good,1.0,0.98431373-1.17840376-0.88070175,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-RED-DAYLIGHT,COL-CONTRACT-RED,red,daylight,220-40-40,220-40-40,162-48-48,brown,False,0.18387856101653055,COMPLETE,medium,1.0,1.21276596-1.21276596-0.74025974,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-RED-NEUTRAL-INDOOR,COL-CONTRACT-RED,red,neutral_indoor,220-40-40,209-40-42,157-48-50,brown,False,0.1767389935150725,COMPLETE,medium,1.0,1.19366197-1.20212766-0.75166297,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-RED-WARM-LOW,COL-CONTRACT-RED,red,warm_low,220-40-40,253-34-26,253-34-26,red,True,0.5661160453271097,PARTIAL:InsufficientColorPixelsError,poor,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-WHITE-DAYLIGHT,COL-CONTRACT-WHITE,white,daylight,240-240-240,240-240-240,240-240-240,white,True,0.23567790683633766,COMPLETE,good,1.0,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-WHITE-NEUTRAL-INDOOR,COL-CONTRACT-WHITE,white,neutral_indoor,240-240-240,228-240-252,228-240-252,white,True,0.1519925853716966,PARTIAL:InsufficientColorPixelsError,poor,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-WHITE-WARM-LOW,COL-CONTRACT-WHITE,white,warm_low,240-240-240,255-204-156,255-204-156,yellow,False,0.04084118120673966,PARTIAL:InsufficientColorPixelsError,poor,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-YELLOW-DAYLIGHT,COL-CONTRACT-YELLOW,yellow,daylight,230-220-30,230-220-30,230-220-30,yellow,True,0.4555330292666001,COMPLETE,good,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-YELLOW-NEUTRAL-INDOOR,COL-CONTRACT-YELLOW,yellow,neutral_indoor,230-220-30,218-220-32,188-189-46,yellow,True,0.1819856883768332,COMPLETE,medium,1.0,1.45498783-0.86291486-0.86666667,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
SUP-COL-YELLOW-WARM-LOW,COL-CONTRACT-YELLOW,yellow,warm_low,230-220-30,255-187-20,255-187-20,orange,False,0.09896398174260984,PARTIAL:InsufficientColorPixelsError,poor,0.6875,1.00000000-1.00000000-1.00000000,SUPPLEMENTAL_SYNTHETIC_NOT_PHYSICAL
